canon	variant
OxA	(OxA
A	A
AA	AA
	AAMS
	AAMSA
AAR	AAr
AAR	AAR
AECV	AECV
AECV	AEVC
	AHU
	Aiw
Aix	Aix
	Alday
ALG	Alg
ALG	ALG
ALG	Alge
ALG	Alger
	AMM
	AMS
ANL	ANL
ANSTO	ANSTO
ANTW	ANTW
ANU	ANU
ANUA	ANU/AMS
ANUA	ANUA
	ANUI
	Arc
	ARC
	ARL
	ARP
	Auck
	Auckland
	AXX
AA	AZ
B	B
	B/n
Ba	Ba
Ba	BA
BC	BC
	Bdy
BE	BE
Beta	Bea
Beta	Bera
Bln	Berli
Bln	Berlin
Beta	Bata
Beta	Bet
Beta	beta
Beta	Beta
Beta	BETA
Beta	Betra
	BI
	Bin
Birm	Birm
Birm	BIRM
	BK
	BKY
	BL
	BLMP
Bln	Bln
BM	BM
	Bn
	BO
	bon
	Bon
BONN	Bonn
BONN	BONN
	BOR
BRAMS	BRAMS
	Brindisi
	Brm
	Bta
C	C
	CAMP
CAMS	CAMS
	CAN
CAR	CAR
	Caucade
	CAV
	Cava
	Caval
	CEDA
	CEDAD
CENA	CENA
	CHC
	CI
	CINCDR
CIRAM	CIRAM
	CIRCE
CNA	CNA
	cog
	Col
COL	COL
	COLL
	CR
	CRC
CRCA	CRCA
	crg
	Crg
	CrG
	CRG
	Crl
CRL	CRL
	CS
CSIC	CSIC
	CSIG
	CSIRO
CU	CU
	CURL
	CUTL
	CZ
D	D
Dak	Dak
	Dalc
	DAMS
	DAS
	DCI
	DeA
	deb
Deb	Deb
DEM	DEM
	df
	DHS
DIC	DIC
	DR
DRI	DRI
DSA	DSA
	DSH
	DU
	EHT
	ELS
ENEA	ENEA
	Er
	Erj
	erl
Erl	Erl
	ERL
	Erll
	eth
	Eth
ETH	ETH
	EVA
F	F
	Fait
Fi	Fi
	FM
Fr	Fr
Fra	Fra
G	G
	Gado
GAK	Gak
GAK	GaK
GAK	GAK
	GAL
	GAMS
	GANOP
	García
	Gc
Gd	Gd
GD	GD
	GdA
	GdC
	GdrA
	GdS
	GeN
	GEO
	Gi
	GiA
	GIA
Gif	gif
Gif	Gif
Gif	GiF
Gif	GIF
	Gif/LS
	Gif/LSM
	Gif/LSN
GifA	Gifa
GifA	GifA
GifA	GifaA
	GifLSM
	GifSLM
	GifT
	GifTAN
	GIFTAN
	GIM
	Gin
GIN	GIN
	GINCD
GL	GL
	GofA
	Gr
	GR
GrA	Gra
GrA	GrA
GrA	GRA
	GrB
	GrD
GrM	GrM
GrN	Grn
GrN	GrN
GrN	GRn
GrN	GRN
GrO	Gro
GrO	GrO
GrO	GRO
	GS/CC
	Gsy
	GsY
	GSY
GU	Gu
GU	GU
GX	Gx
GX	GX
	GxA
	GxO
	GXO
	GY
	h
H	H
	Ha
	Hacettep
	HaK
HAM	Ham
HAM	HAM
HAR	Har
HAR	HAR
Hd	Hd
Hd	HD
	HdT
Hel	Hel
Hela	Hela
	HH
	HU
	HUR
	hv
Hv	Hv
	HV
I	I
IAAA	IAAA
	IAB
ICEN	ICEN
	ICFN
	ICIAMS
	ICN
IEMAE	IEMAE
	IEMEZG
	IEMEZH
	IEN
	IEPA
	IERZ
	IERZG
IFAO	IFAO
IGAN	IGAN
	IGAS
IGS	IGS
II	II
	IM
	INAH
	ind
	indet
IRPA	IRPA
ISGS	ISGS
	Isotopes
	ITL
	IU
IVIC	IVIC
K	K
	Ka
	KAERI
	Kanad
	KBN
	Ke
KEEA	KEEA
	ki
Ki	Ki
KI	KI
	Ki(Kiev)
KIA	kia
KIA	Kia
KIA	KiA
KIA	KIa
KIA	KIA
KI	Kiel
	Kiev
KIK	KIK
	Kl
	KL
	KlA
	Kln
	KM
KN	kn
KN	Kn
KN	KN
	KnI
	KNI
KRIL	KRIL
KSU	KSU
	Ky
	Kye
	l
L	L
	Lab
	Labcode
	Lamont
	Le
LE	LE
	LE(RUL)
LTL	Lecce
	LFM
	LG
	LGd
	LGD
	LGQ
	LGU
LIH	LIH
	liv
	Lj
LJ	LJ
	LL
	LLNL
	LLUNK
	ln
	LOCEAN
	Lod
	LOD
	Loean
	Lösche
	LSC
	Lt
	LT
	LTA
	LTD
LTL	Ltl
LTL	LtL
LTL	LTL
	LTU
Lu	Lu
LU	LU
LuA	LuA
	LUa
	LUNK
LuS	LuS
	lv
Lv	Lv
	LV
	Lv)
Ly	Ly
Ly	LY
Ly	LYAON
Ly	Lyhon
Ly	Lyion
Ly	Lyon
Ly	LYON
	Lyx
Ly	Lyyon
LZ	LZ
M	M
	MA
	MAD
MAG	MAG
	MAMœS
	Mams
MAMS	MAMS
	MATJ
	MB
	MBN
	Mc
MC	MC
	mean
METU	METU
	Minnesot
MKL	MKL
	ML
	MNHN
	Mo
	MO
	MOC
	Monanc
	Montelib
	MP
MTC	MTC
	Mura
	MURR
	Muse
	MUSE
N	N
	n/a
	Nanc
	nd
	Newt
	NIA
	NIESÄ
	NITA
	NMB
	no
	No
	non
	NOSAMS
	Not
	Novosibi
NPL	NPL
	NskA
	NSKA
	NSLR
NSRL	NSRL
NSW	NSW
	NUT
NUTA	NUTA
	Nv
Ny	Ny
	NY
NZ	NZ
	Nza
	NzA
NZA	NZA
O	O
	OA
OBDY	OBDY
	ODT
	ODTÃœ
	ODTK
	ODTÜ
	ODTUK
	OFZ
	OrsA
	ORSA
	Orsay
	ORSAY
	Orstom
OS	OS
	OST
OWU	OWU
	Ox
OxA	Oxa
OxA	OxA
OxA	OXA
	OxA/Lyon
OxA	OxA/OxA
	OxAQ
	OxAX
	OxAZ
	OxBGA
	OXC
	Oxfor
	Oxford
	OxQ
	OxX
OZ	OZ
	OZA
	OZB
	Ozc
	OZC
	OZD
	OZE
	OZF
	OZG
	OZH
	OZI
	OZJ
	OZK
	OZL
	OZM
	OZN
	OZQ
	OZS
	OZV
P	P
	P/GX
	Pa
	PA
	Pal
	Paris
	PED
	Péras
	Pertus
Pi	Pi
PI	PI
	Pioz
PITT	PIT
PITT	PITT
PL	Pl
PL	PL
PLD	PLD
	Por
Poz	poz
Poz	Poz
Poz	PoZ
Poz	POZ
Poz	Pozna
Pr	Pr
	PR
PRL	PRL
PSU	PSU
PSUAMS	PSUAMS
	PT
Pta	Pta
	PxA
	Pz
Q	Q
QC	QC
	QDes
QL	QL
	QLDesco
	QTL
QU	QU
	QUB
	Quechon
R	R
	Rabat
	Rabet
	Rasilla
RCD	RCD
	RDT
	RHM
	RHO
RI	RI
RICH	RICH
RIDDL	RIDDL
RL	RL
	RM
RoAMS	RoAMS
Rome	ROM
Rome	Rome
	ROME
	Romito
	RP
	RPA
	Rt
RT	RT
	RTA
	RTD
	RTF
RTK	RTK
	RTT
	RUL
	RW
S	s
S	S
Sa	Sa
Sa	SA
Sac	Sac
Sac	SAC
SacA	SacA
SacA	SaCA
	SAMS
SANU	Sanu
SANU	SANU
Sh	Sh
	Si
SI	SI
	Sidi
	Sl
SL	SL
SMU	SMU
	SN
SNU	SNU
	SOAN
SPb	SPb
	Spr
	SR
	SRLA
	SRR
	SS
	SSR
	St
	ST
	SU
	SUa
	SUA
SUERC	SUARC
SUERC	SUERC
SUERC	SUREC
	SWA
T	T
	Ta
	TA
	Talba
	Tan
	TAN
TB	TB
	TBN
	Teled
	Teledyne
	TERR
	TERRA
TF	TF
	TH
TK	TK
	Tka
TKa	TKa
TKA	TKA
	TL
TO	TO
TRa	TRa
	TRD
	TRRA
	TU
	Tua
TUa	TUa
	Tuc
	tucson
	Tucson
TUNC	TUNC
Tx	Tx
	TX
U	U
	ua
Ua	Ua
	UA
UB	UB
UBA	UBA
UBAR	UBAR
	UC
	UCAL
UCD	UCD
	UCH
UCI	UCI
	UCIAMS
	UCKA
	UCL
UCLA	UCLA
	UClAMS
UCR	UCR
UD	UD
	UDescono
	UG
	Uga
UGa	UGa
	UGA
	UGAM
	UGAMS
	UGra
	UGrA
UGRA	UGRA
	UIC
	UJ
UL	UL
	UlO
UM	UM
	UMCO
	Universi
	unreport
UOC	UOC
	UPI
	UPIT
	UPS
UQ	UQ
URU	URU
USGS	USGS
	Utc
UtC	UtC
	UTC
UW	UW
	uz
	Uz
	UZ
V	V
	VEI
	Ventana
VERA	Vera
VERA	VERA
	VR
VRI	VRI
Vs	vs
Vs	Vs
W	W
	Wait
	WAIT
	WAS
WAT	WAT
	Wis
WIS	WIS
Wk	Wk
	WK
	Wl
WSU	WSU
	WT
	WW
	x
X	X
Y	Y
YU	YU
Z	z
Z	Z
	zFEAZE
	ZU
