lab_code	active	lab	country
A	TRUE	University of Arizona	USA
AA	TRUE	NSF-Ariz. AMS Facility	USA
AAR	TRUE	University of Aarhus	Denmark
AC	TRUE	Ingeis	Argentina
AECV	FALSE	Alberta Environmental Center of Vegreville	Canada
AERIK	FALSE	Atomic Energy Res. Inst.	Korea
ALG	FALSE	Algiers	Algeria
ANAS	FALSE	Applied Nuclear-Atomic South Science (ANAS) Lab.	Korea
ANL	FALSE	Argonne Nat. Lab.	USA
ANSTO	TRUE	Australian Nuclear Science & Technology	Australia
ANTW	FALSE	Antwerp	Belgium
ANU	FALSE	Australian National Univ.	Australia
ANUA	TRUE	ANU Accelerator	Australia
AU	FALSE	University of Alaska	USA
AURIS	TRUE	Ahmedabad	India
Aix	TRUE	Centre de Recherche et d'Enseignement de Geosciences de l'Environnement (CERAGE), Aix-en-Provence	France
B	TRUE	Bern	Switzerland
BC	FALSE	Brooklyn College	USA
BE	TRUE	University of Bern	Switzerland
BGS	FALSE	Brock University	Canada
BIOCAMS	FALSE	Miami	USA
BM	FALSE	British Museum	England
BONN	FALSE	Universität Bonn	Germany
BRAMS	TRUE	University of Bristol	UK
BS	TRUE	Birbal Sahni Institute	India
Ba	TRUE	Bratislava	Slovakia
Beta	TRUE	Beta Analytic	USA
Birm	FALSE	Birmingham	UK
Bln	FALSE	Berlin	Germany
C	FALSE	Chicago	USA
CAMS	TRUE	Lawrence Livermore National Laboratory	USA
CAR	FALSE	Univ. College, Cardiff	Wales
CENA	TRUE	Centro Energia Nuclear na Agricultura	Brazil
CG	TRUE	Institute of Geology	China
CH	FALSE	Chemistry Laboratory	India
CIRAM	TRUE	CIRAM, Martillac	France
CN-XX	TRUE	Chinese Academy of Sciences	China
CNA	TRUE	Centro Nacional de Aceleradores	Spain
CNL	NA	Institute of Geology and Geophysics, Chinese Academy of Sciences	China
COL	TRUE	Köln AMS	Germany
CRCA	FALSE	Cairo	Egypt
CRL	TRUE	Czech 14C Lab. Czech	Republic
CSIC	TRUE	Geochronology Lab, IQFR-CSIC, Madrid	Spain
CSM	FALSE	Cosmochem. Lab., USSR Acad. of Sci.	USSR
CT	FALSE	Caltech, Calif. Inst. Tech.	USA
CU	TRUE	Charles University Czech	Republic
D	FALSE	Dublin, Trinity College	Ireland
D-AMS	TRUE	Direct AMS	USA
DAL	FALSE	Dalhousie University	Canada
DE	FALSE	USGS, Denver  	USA
DEM	TRUE	NCSR Demokritos	Greece
DGC	TRUE	Dalhousie Geochronology Centre	Canada
DIC	FALSE	Dicar Corp and Dicarb	USA
DK	TRUE	Univ. de Dakar	Sénégal
