lab_id,site,latitude,longitude,context,cra,error,d13c,material,references
Ly-2805,Tell 'Abr 3,36.68194,38.08639,"Niveau I/South G4. US.118, 194. Contexte: M1a (communal building)",9705,60,?,S,Yartah 2013:72
Ly-2806,Tell 'Abr 3,36.68194,38.08639,"Niveau: I/South, G4. US.118, 190 Context: M1a (communal building)",9690,60,?,S,Yartah 2013:72
Ly-2807,Tell 'Abr 3,36.68194,38.08639,"Niveau: I/South G4, US. 118, 192 Context: M1a (communal building)",9705,55,?,S,Yartah 2013:72
Ly-2808,Tell 'Abr 3,36.68194,38.08639,"Niveau: I/South, G5, US. 188, 193 Context: M1a (communal building)",9685,55,?,S,Yartah 2013:72
Ly-5235,Tell 'Abr 3,36.68194,38.08639,"Niveau: I/North, D3, US 325, 332 Context: M10b (communal building)",9750,50,?,S,Yartah 2013:72
Ly-5236,Tell 'Abr 3,36.68194,38.08639,"Niveau: I/North, D3, US.315, 332 Context: M10b (communal building)",9700,50,?,S,Yartah 2013:72
Ly-5237,Tell 'Abr 3,36.68194,38.08639,"Niveau: I/North, D3, US.315, 332 Context: M10b (communal building)",9730,50,?,S,Yartah 2013:72
RT 2453,Abu Gosh,31.80537,35.10833,"Sq A7, Basket 1343; Layer III, 649.78-649.72 ""First phase"" (Appendix I in: Khalaily, Marder 2003:143)",8895,60,,CH Cratagus,"Segal, Carmi 2003; Khalaily, Marder 2003."
BM 1120,Abu Hureyra,35.86833,38.39333,"Trench E, Phase 3,4,6,7",8666,66,,CH,Moore 2000:255
BM 1121,Abu Hureyra,35.86833,38.39333,E level 2/3,10792,82,,CH,Moore 2000:527
BM 1122,Abu Hureyra,35.86833,38.39333,"Trench B, Phase 3",9374,72,,CH,Moore 2000:253-255
BM 1423,Abu Hureyra,35.86833,38.39333,Trench C,8676,72,,CH,Moore 2000:529
BM 1424,Abu Hureyra,35.86833,38.39333,"Trench B, Phase 7",8190,77,,CH,Moore 2000:253-255
BM 1425,Abu Hureyra,35.86833,38.39333,"Trench C, = ca. Phase 8, Trench B",8393,72,,CH,Moore 2000:529
BM 1718R,Abu Hureyra,35.86833,38.39333,E447,11140,140,,CH,Moore 2000:527
BM 1719,Abu Hureyra,35.86833,38.39333,?,9120,50,,CH,"Radiocarbon 24/3,1982,284"
BM 1719R,Abu Hureyra,35.86833,38.39333,Trench E,9100,100,,CH,Moore 2000:253-255
BM 1721R,Abu Hureyra,35.86833,38.39333,"Trench D, Phase3",8490,110,,CH,Moore 2000:253-255
BM 1722R,Abu Hureyra,35.86833,38.39333,"Trench B, Phase 4",8640,100,,CH,Moore 2000:253-255
BM 1723R,Abu Hureyra,35.86833,38.39333,Trench E,10820,510,,CH,Moore 2000:253-255
BM 1724R,Abu Hureyra,35.86833,38.39333,"Trench E, Phase 6",8020,100,,CH,Moore 2000:253-255
OxA 1190,Abu Hureyra,35.86833,38.39333,"Trench B, Phase 2",8500,120,,S (eimmer/eink.),Moore 2000:253-255
OxA 1227,Abu Hureyra,35.86833,38.39333,"Trench G, Phase 3 (younger than Phase 2)",8320,80,,CH,Moore 2000:255
OxA 1228,Abu Hureyra,35.86833,38.39333,"Trench G, bottom phase 1",9680,90,,CH wood,Moore 2000:255
OxA 170,Abu Hureyra,35.86833,38.39333,E405,10600,200,,S (wild einkorn),Byrd 1994
OxA 171,Abu Hureyra,35.86833,38.39333,E457,10600,200,,S (wild einkorn),Moore 2000:527
OxA 172,Abu Hureyra,35.86833,38.39333,E470,10900,200,,S (wild einkorn),Byrd 1994
OxA 1930,Abu Hureyra,35.86833,38.39333,"Trench G, Phase 2",8180,100,,S (wild cereals),Moore 2000:255
OxA 1931,Abu Hureyra,35.86833,38.39333,"Trench G, phase 2",7890,90,,S (dom.wheat),Moore 2000:255
OxA 2167,Abu Hureyra,35.86833,38.39333,"Trench E, Phase 4",8270,100,,S,Moore 2000:253-255
OxA 2168,Abu Hureyra,35.86833,38.39333,"Trench E, Phase 5 (above Phase 4)",8330,100,,CH,Moore 2000:253-255
OxA 2169,Abu Hureyra,35.86833,38.39333,"Trench B, Phase 2",8640,110,,S (einkorn/brly),Moore 2000:253-255
OxA 386,Abu Hureyra,35.86833,38.39333,E420,10800,160,,S (wild einkorn),Byrd 1994
OxA 387,Abu Hureyra,35.86833,38.39333,E470,11070,160,,B (bos),"Gowlett, Hedges 1987"
OxA 397,Abu Hureyra,35.86833,38.39333,E430,10420,140,,S (wild einkorn),Byrd 1994
OxA 406,Abu Hureyra,35.86833,38.39333,Trench E,9300,250,,B,"Gowlett, Hedges 1987"
OxA 407,Abu Hureyra,35.86833,38.39333,E419,10050,180,,B,Housley 1994:62
